ID	DOI	edited	metalanguage	objectlanguage	license	superseded	pages	series	seriesnumber	creators	title
176	10.5281/zenodo.1296780		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	10	Moran, Steven & Cysouw, Michael	The Unicode cookbook for linguists: Managing writing systems using orthography profiles
177	10.5281/zenodo.3950146		cmn		CC-BY	False		Textbooks in Language Sciences	8	Müller, Stefan	语法理论: 从转换语法到基于约束的理论
178	10.5281/zenodo.4291753		eng		CC-BY	False		Topics at the Grammar-Discourse Interface	8	Nakagawa, Natsuko	Information structure in spoken Japanese: Particles, word order, and intonation
179	10.5281/zenodo.2625403		eng		CC-BY	False		Studies in Caribbean Languages	3	Sherriah, André	A tale of two dialect regions: Sranan's 17th-century English input
180	10.5281/zenodo.1300630	(eds.)	eng		CC-BY	False		EuroSLA Studies	1	Pérez Vidal, Carmen, López-Serrano, Sonia, Ament, Jennifer & Thomas-Wilhelm, Dakota J. 	Learning context effects: Study abroad, formal instruction and international immersion classrooms
181	10.5281/zenodo.1048173	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	8	Svoboda, Tomáš, Biel, Łucja & Łoboda, Krzysztof 	Quality aspects in institutional translation
182	10.5281/zenodo.1181783	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	17	Paggio, Patrizia & Gatt, Albert 	The languages of Malta
183	10.5281/zenodo.1471564	(eds.)	eng		CC-BY	False		Studies in Laboratory Phonology	6	Feldhausen, Ingo, Fliessbach, Jan & Vanrell, Maria del Mar 	Methods in prosody: A Romance language perspective
184	10.5281/zenodo.1182583	(eds.)	eng		CC-BY	False		Phraseology and Multiword Expressions	1	Sailer, Manfred & Markantonatou, Stella 	Multiword expressions: Insights from a multi-lingual perspective
186	10.5281/zenodo.3191825		eng		CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	5	Guzmán Naranjo, Matías	Analogical classification in formal grammar
187	10.5281/zenodo.1180721		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	9	Fox, Wendy	Can integrated titles improve the viewing experience?: Investigating the impact of subtitling on the reception and enjoyment of film using eye tracking and questionnaire data
189	10.5281/zenodo.2546440	(eds.)	eng		CC-BY	False		Open Slavic Linguistics	1	Lenertová, Denisa, Meyer, Roland, Šimík, Radek & Szucsich, Luka 	Advances in formal Slavic linguistics 2016
190	10.5281/zenodo.1314306		eng		CC-BY	False		Niger-Congo Comparative Studies	1	Watters, John R.	East Benue-Congo: Nouns, pronouns, and verbs
191	10.5281/zenodo.1311704		eng		CC-BY	False		Niger-Congo Comparative Studies	2	Pozdniakov, Konstantin	The numeral system of Proto-Niger-Congo: A step-by-step reconstruction
192	10.5281/zenodo.3365789	(eds.)	eng		CC-BY	False		Contemporary African Linguistics	4	Clem, Emily, Jenks, Peter & Sande, Hannah 	Theory and description in African Linguistics: Selected papers from the 47th Annual Conference on African Linguistics
193	10.5281/zenodo.1211896		eng		CC-BY	False		Open Generative Syntax	3	Bacskai-Atkari, Julia	Deletion phenomena in comparative constructions: English comparatives in a cross-linguistic perspective
194	10.5281/zenodo.2573677		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	13	Vandevoorde, Lore	Semantic differences in translation: Exploring the field of inchoativity
195	10.5281/zenodo.1193241		eng		CC-BY	True		Textbooks in Language Sciences	1	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches. Second revised and extended edition.
196	10.5281/zenodo.2546446		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	12	Nitzke, Jean	Problem solving activities in post-editing  and translation from scratch: A multi-method study
197	10.5281/zenodo.2625683		eng		CC-BY	False		Studies in Laboratory Phonology	7	Tilsen, Sam	Syntax with oscillators and energy levels
199	10.5281/zenodo.1306472	(eds.)	eng		CC-BY	False		Classics in Linguistics	6	Anderson, Stephen R. & de Saussure, Louis 	René de Saussure and the theory of word formation
200	10.5281/zenodo.2600163		por		CC-BY	False		Textbooks in Language Sciences	6	Ferreira, Marcelo	Curso de semântica formal
201	10.5281/zenodo.1402571	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	21	Riesberg, Sonja, Shiohara, Asako & Utsumi, Atsuko 	Perspectives on information structure in Austronesian languages
202	10.5281/zenodo.2579017	(eds.)	eng		CC-BY	False		Phraseology and Multiword Expressions	3	Parmentier, Yannick & Waszczuk, Jakub 	Representation and parsing of multiword expressions: Current trends
203	10.5281/zenodo.1306618		eng		CC-BY	False		Studies in Caribbean Languages	1	Irvine-Sobers, G. Alison	The acrolect in Jamaica: The architecture of phonological variation
204	10.5281/zenodo.1469527	(eds.)	eng		CC-BY	False		Phraseology and Multiword Expressions	2	Markantonatou, Stella, Ramisch, Carlos, Savary, Agata & Vincze, Veronika 	Multiword expressions at length and in depth: Extended papers from the MWE 2017 workshop
209	10.5281/zenodo.1493281		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	11	Fantinuoli, Claudio	Interpreting and technology
210	10.5281/zenodo.1451308		eng		CC-BY	False		Language Variation	3	Juskan, Marten	Sound change, priming, salience: Producing and perceiving variation in Liverpool English
212	10.5281/zenodo.1477799		eng	wara1294	CC-BY	False		Studies in Diversity Linguistics	22	Döhler, Christian	A grammar of Komnzo
213	10.5281/zenodo.3546018		eng		CC-BY	False		Studies in Diversity Linguistics	28	Unterladstetter, Volker	Multi-verb constructions in Eastern Indonesia
214	10.5281/zenodo.2654375		eng		CC-BY	False		History and Philosophy of the Language Sciences	1	McElvenny, James	Form and formalism in linguistics
215	10.5281/zenodo.2640704	(eds.)	eng		CC-BY	False		Open Generative Syntax	4	Franco, Ludovico, Marchis Moreno, Mihaela & Reeve, Matthew 	Agreement, case and locality in the nominal and verbal domains
216	10.5281/zenodo.2563698		eng		CC-BY	False		Studies in Diversity Linguistics	24	Guérin, Valérie	Bridging constructions
219	10.5281/zenodo.2538324		eng		CC-BY	False		Topics at the Grammar-Discourse Interface	3	Bueno Holle, Juan José	Information structure in Isthmus Zapotec narrative and conversation
220	10.5281/zenodo.2583788	(eds.)	eng		CC-BY	False		Conceptual Foundations of Language Science	3	Schmidtke-Bode, Karsten, Levshina, Natalia, Michaelis, Susanne Maria & Seržant, Ilja 	Explanation in typology: Diachronic sources, functional motivations and the nature of the evidence
221	10.5281/zenodo.3232849		eng		CC-BY	False		Studies in Laboratory Phonology	8	Ben Hedia, Sonia	Gemination and degemination in English affixation: Investigating the interplay between morphology, phonology and phonetics
223	10.5281/zenodo.3446224	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	26	Di Garbo, Francesca, Olsson, Bruno & Wälchli, Bernhard 	Grammatical gender and linguistic complexity I: General issues and specific studies
224	10.5281/zenodo.1421660		eng		CC-BY	False		Textbooks in Language Sciences	2	Schäfer, Roland	Einführung in die grammatische Beschreibung des Deutschen: Dritte, überarbeitete und erweiterte Auflage
225	10.5281/zenodo.3374730	(eds.)	eng	mege1234	CC-BY	False		Languages of the Caucasus	1	Daniel, Michael, Dobrushina, Nina & Ganenkov, Dmitry 	The Mehweb language: Essays on phonology, morphology and syntax
