ID	DOI	edited	metalanguage	objectlanguage	license	superseded	pages	series	seriesnumber	creators	title
275	10.5281/zenodo.4041229	(eds.)	eng		CC-BY	False		Open Generative Syntax	9	Bárány, András, Biberauer, Theresa, Douglas, Jamie & Vikner, Sten 	Syntactic architecture and its consequences I: Syntax inside the grammar
276	10.5281/zenodo.4081038	(eds.)	eng		CC-BY	False		Open Generative Syntax	10	Bárány, András, Biberauer, Theresa, Douglas, Jamie & Vikner, Sten 	Syntactic architecture and its consequences II: Between syntax and morphology
277	10.5281/zenodo.4680264	(eds.)	eng		CC-BY	False		Open Generative Syntax	11	Bárány, András, Biberauer, Theresa, Douglas, Jamie & Vikner, Sten 	Syntactic architecture and its consequences III: Inside syntax
278	10.5281/zenodo.4032298	(eds.)	eng		CC-BY	False		EuroSLA Studies	4	Edmonds, Amanda, Leclercq, Pascale & Gudmestad, Aarnes 	Interpreting language-learning data
280	10.5281/zenodo.5155544	(eds.)	eng		CC-BY	False		Open Slavic Linguistics	4	Blümel, Andreas, Gajić, Jovana, Geist, Ljudmila, Junghanns, Uwe & Pitsch, Hagen 	Advances in formal Slavic linguistics 2018
281	10.5281/zenodo.4121875		eng		CC-BY	False		Studies in Laboratory Phonology	10	Roessig, Simon	Categoriality and continuity in prosodic prominence
282	10.5281/zenodo.4054814	(eds.)	eng		CC-BY	False		Topics at the Grammar-Discourse Interface	6	Næss, Åshild, Margetts, Anna & Treis, Yvonne 	Demonstratives in discourse
283	10.5281/zenodo.4049471	(eds.)	eng		CC-BY	False		Topics at the Grammar-Discourse Interface	5	Balogh, Kata, Latrouite, Anja & Van Valin, Robert D. 	Nominal anchoring: Specificity, definiteness and article systems across languages
286	10.5281/zenodo.4269397	(eds.)	eng		CC-BY	False		History and Philosophy of the Language Sciences	3	Aussant, Émilie & Fortis, Jean-Michel 	Historical journey in a linguistic archipelago: Descriptive concepts and case studies
287	10.5281/zenodo.3992307		eng	nyak1261	CC-BY	False		Textbooks in Language Sciences	1	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches. Fourth revised and extended edition
288	10.5281/zenodo.4544686		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	15	Tra&Co  Group, ᠎	Translation, interpreting, cognition: The way out of the box
289	10.5281/zenodo.5589446		eng		CC-BY	False		Contact and Multilingualism	3	Hakimov, Nikolay	Explaining Russian-German code-mixing: A usage-based approach
290	10.5281/zenodo.4449726	(eds.)	eng		CC-BY	False		Contact and Multilingualism	2	Pinto, Jorge & Alexandre, Nélia 	Multilingualism and third language acquisition: Learning and teaching trends
293	10.5281/zenodo.5578772	(eds.)	eng		CC-BY	False		Contemporary African Linguistics	7	Akinlabi, Akinbiyi, Bickmore, Lee, Cahill, Michael, Diercks, Michael, Downing, Laura J, Essegbey, James, Franich, Katie & McPherson, Laura 	Celebrating 50 years of ACAL: Selected papers from the 50th Annual Conference on African Linguistics
295	10.5281/zenodo.4548232		eng	japh1234	CC-BY	False		Comprehensive Grammar Library	1	Jacques, Guillaume	A grammar of Japhug
